"","AbsOrder","SeaNum","EpiNum","EpiTitle","AirDate","WritBy","DirBy","EpiPlot","imdbRating","imdbVotes","EpiLength"
"46",46,"5","1","The Gang Exploits the Mortgage Crisis","17 Sep 2009","Becky Mann, Audra Sielaff","Randall Einhorn","While Frank buys a foreclosed house with intentions of selling it for profit, Mac and Dennis become hot-headed real estate brokers, and Dee takes advantage of a suburban couple looking to hire a surrogate mother.","8.4","569","22 min"
"47",47,"5","2","The Gang Hits the Road","24 Sep 2009","Glenn Howerton, Charlie Day","Fred Savage","The gang takes Dee's new subcompact car and a U-haul on the road with the intentions of hitting the Grand Canyon, and Charlie attempts to expand his horizons.","9.1","680","22 min"
"48",48,"5","3","The Great Recession","01 Oct 2009","David Hornsby","Fred Savage","Mac and Dennis try to cut back Paddy's expenses by firing Dee and Charlie, and Frank figures out a clever way to keep the bar afloat.","8.2","481","22 min"
"49",49,"5","4","The Gang Gives Frank an Intervention","08 Oct 2009","Scott Marder, Rob Rosell","Fred Savage","After Frank embarrasses himself at the funeral of a deceased relative, Dennis and Dee decide that it's finally time to give him an intervention for his reckless lifestyle.","8.9","618","22 min"
"50",50,"5","5","The Waitress Is Getting Married","15 Oct 2009","Glenn Howerton, Charlie Day","Fred Savage","Dee discovers that the waitress Charlie is obsessed with is getting married to her ex-boyfriend and plots to derail the wedding, while Mac, Frank and Dennis try to get Charlie back on the dating scene.","8.8","626","22 min"
"51",51,"5","6","The World Series Defense","22 Oct 2009","David Hornsby","Randall Einhorn","Fighting a series of traffic tickets, Dennis, along with the rest of the gang, tell the judge about their horrific experiences at Game 5 of the Phillies' world series.","8.4","489","22 min"
"52",52,"5","7","The Gang Wrestles for the Troops","29 Oct 2009","Scott Marder, Rob Rosell","Randall Einhorn, Fred Savage","The gang decides to put on a wrestling show for troops returning home while Dee courts a soldier who doesn't seem like the person she's chatting online with.","8.5","515","22 min"
"53",53,"5","8","Paddy's Pub: Home of the Original Kitten Mittens","05 Nov 2009","Sonny Lee, Patrick Walsh","Randall Einhorn","The gang attempts to create a merchandising angle for Paddy's when a convention comes to Philly.","9.0","641","30 min"
"54",54,"5","9","Mac and Dennis Break Up","12 Nov 2009","Scott Marder, Rob Rosell","Fred Savage","Taking Dee's advice seriously, Mac and Dennis decide that they're too co-dependent on each other and need to spend time apart. Meanwhile Charlie and Frank help Dee out with a major cat problem in her apartment.","8.5","492","22 min"
"55",55,"5","10","The D.E.N.N.I.S. System","19 Nov 2009","David Hornsby, Scott Marder, Rob Rosell","Randall Einhorn","Dennis presents his fool-proof plan for picking up chicks, but soon finds that the gang each has their own fool-proof plans for one-upping each other.","9.2","770","22 min"
"56",56,"5","11","Mac and Charlie Write a Movie","03 Dec 2009","Glenn Howerton, Rob McElhenney","Randall Einhorn","After Dee gets cast as an extra in the new M. Night Shyamalan movie, Mac and Charlie see a perfect opportunity to pitch their script, while Frank becomes a casting agent for Dennis.","8.3","490","22 min"
"57",57,"5","12","The Gang Reignites the Rivalry","10 Dec 2009","Dave Chernin, Charlie Day","Randall Einhorn","Mac, Dennis, and Charlie seek revenge on another bar after their 10 year ban in a local flip cup tournament is lifted, but find they are in need of some serious practice. Dee discovers new skills and Frank wears tight pants.","8.6","502","22 min"
